UPS Bypass No Disponible
Fecha Activado:     31/10/2017 04:10:13 p. m.
Fecha Normalizado:  31/10/2017 04:10:16 p. m.

UPS Conexion
Fecha Activado:     01/10/2017 01:25:54 p. m.
Fecha Normalizado:  01/10/2017 01:37:05 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 09:21:18 p. m.
Fecha Normalizado:  29/09/2017 09:21:21 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 05:57:59 p. m.
Fecha Normalizado:  29/09/2017 05:58:02 p. m.

UPS En Baterias
Fecha Activado:     29/09/2017 03:06:03 p. m.
Fecha Normalizado:  29/09/2017 03:06:15 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 03:03:30 p. m.
Fecha Normalizado:  29/09/2017 03:03:36 p. m.

UPS En Baterias
Fecha Activado:     29/09/2017 03:03:06 p. m.
Fecha Normalizado:  29/09/2017 03:03:27 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 03:03:06 p. m.
Fecha Normalizado:  29/09/2017 03:03:24 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 02:47:32 p. m.
Fecha Normalizado:  29/09/2017 02:47:35 p. m.

UPS En Baterias
Fecha Activado:     29/09/2017 02:47:02 p. m.
Fecha Normalizado:  29/09/2017 02:47:35 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 02:47:02 p. m.
Fecha Normalizado:  29/09/2017 02:47:26 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 02:36:09 p. m.
Fecha Normalizado:  29/09/2017 02:36:12 p. m.

UPS En Baterias
Fecha Activado:     29/09/2017 02:35:48 p. m.
Fecha Normalizado:  29/09/2017 02:36:03 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 02:35:48 p. m.
Fecha Normalizado:  29/09/2017 02:36:03 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 02:25:22 p. m.
Fecha Normalizado:  29/09/2017 02:25:31 p. m.

UPS En Baterias
Fecha Activado:     29/09/2017 02:24:58 p. m.
Fecha Normalizado:  29/09/2017 02:25:22 p. m.

UPS Bypass No Disponible
Fecha Activado:     29/09/2017 02:24:58 p. m.
Fecha Normalizado:  29/09/2017 02:25:19 p. m.

UPS En Baterias
Fecha Activado:     17/09/2017 04:14:55 p. m.
Fecha Normalizado:  17/09/2017 04:17:56 p. m.

UPS Bypass No Disponible
Fecha Activado:     17/09/2017 04:14:55 p. m.
Fecha Normalizado:  17/09/2017 04:17:56 p. m.

UPS ToB
Fecha Activado:     17/09/2017 04:14:55 p. m.
Fecha Normalizado:  17/09/2017 04:17:56 p. m.

UPS En Baterias
Fecha Activado:     17/09/2017 04:14:07 p. m.
Fecha Normalizado:  17/09/2017 04:14:43 p. m.

UPS Bypass No Disponible
Fecha Activado:     17/09/2017 04:14:07 p. m.
Fecha Normalizado:  17/09/2017 04:14:43 p. m.

UPS ToB
Fecha Activado:     17/09/2017 04:14:07 p. m.
Fecha Normalizado:  17/09/2017 04:14:43 p. m.

UPS En Baterias
Fecha Activado:     10/09/2017 03:56:10 a. m.
Fecha Normalizado:  10/09/2017 03:56:16 a. m.

UPS ToB
Fecha Activado:     10/09/2017 03:56:10 a. m.
Fecha Normalizado:  10/09/2017 03:56:16 a. m.

UPS En Baterias
Fecha Activado:     09/09/2017 06:27:23 p. m.
Fecha Normalizado:  09/09/2017 06:27:29 p. m.

UPS Bypass No Disponible
Fecha Activado:     09/09/2017 05:44:10 p. m.
Fecha Normalizado:  09/09/2017 05:44:12 p. m.

UPS En Baterias
Fecha Activado:     09/09/2017 05:20:38 p. m.
Fecha Normalizado:  09/09/2017 05:21:01 p. m.

UPS Bypass No Disponible
Fecha Activado:     09/09/2017 05:20:38 p. m.
Fecha Normalizado:  09/09/2017 05:21:08 p. m.

UPS En Baterias
Fecha Activado:     03/09/2017 12:34:18 p. m.
Fecha Normalizado:  03/09/2017 12:34:24 p. m.

UPS Conexion
Fecha Activado:     02/09/2017 01:38:59 p. m.
Fecha Normalizado:  02/09/2017 01:39:02 p. m.

UPS En Baterias
Fecha Activado:     02/09/2017 01:29:50 p. m.
Fecha Normalizado:  02/09/2017 01:29:53 p. m.

UPS En Baterias
Fecha Activado:     31/08/2017 04:21:16 p. m.
Fecha Normalizado:  31/08/2017 04:21:19 p. m.

UPS En Bypass
Fecha Activado:     26/08/2017 11:12:07 a. m.
Fecha Normalizado:  26/08/2017 11:12:09 a. m.

UPS En Baterias
Fecha Activado:     17/08/2017 05:55:41 p. m.
Fecha Normalizado:  17/08/2017 05:55:44 p. m.

UPS En Baterias
Fecha Activado:     17/08/2017 05:54:11 p. m.
Fecha Normalizado:  17/08/2017 05:54:17 p. m.

UPS Bypass No Disponible
Fecha Activado:     17/08/2017 05:54:11 p. m.
Fecha Normalizado:  17/08/2017 05:54:14 p. m.

UPS En Baterias
Fecha Activado:     17/08/2017 05:53:11 p. m.
Fecha Normalizado:  17/08/2017 05:53:17 p. m.

UPS En Baterias
Fecha Activado:     17/08/2017 05:40:58 p. m.
Fecha Normalizado:  17/08/2017 05:41:01 p. m.

UPS Bypass No Disponible
Fecha Activado:     17/08/2017 05:40:58 p. m.
Fecha Normalizado:  17/08/2017 05:41:01 p. m.

UPS En Baterias
Fecha Activado:     15/08/2017 04:39:33 p. m.
Fecha Normalizado:  15/08/2017 04:39:39 p. m.

UPS Bypass No Disponible
Fecha Activado:     15/08/2017 04:39:33 p. m.
Fecha Normalizado:  15/08/2017 04:39:36 p. m.

UPS En Baterias
Fecha Activado:     15/08/2017 04:34:11 p. m.
Fecha Normalizado:  15/08/2017 04:34:38 p. m.

UPS Bypass No Disponible
